Name,Born,Squat1Kg,Bench1Kg,Deadlift1Kg,Age,Total,,,Name,Born,Squat1Kg,Bench1Kg,Deadlift1Kg,Age,TOTAL
Lee Jessie,1997,107.5,57.5,137.5,25,333.5,,,Pilnikova Lenka,1983,107.5,70,135,39,327.5
Pilnikova Lenka,1983,107.5,70,135,39,327.5,,,Lee Jessie,1997,107.5,57.5,137.5,25,333.5
Caldona Jackielyn,1989,105,62.5,120,33,320,,,Caldona Jackielyn,1989,105,62.5,120,33,320
Smith Megan-Li,1996,152.5,82.5,170,26,423.5,,,Smith Megan-Li,1996,152.5,82.5,170,26,423.5
Kariyawasam Kavishi,1993,150,72.5,172.5,29,408,,,Kariyawasam Kavishi,1993,150,72.5,172.5,29,408
Premji Suzan,1984,125,70,155,38,360,,,Premji Suzan,1984,125,70,155,38,360
Corrigan Evie,1996,155,90,187.5,26,468,,,Corrigan Evie,1996,155,90,187.5,26,468
Casey Kayla,1987,137.5,87.5,157.5,35,410,,,Casey Kayla,1987,137.5,87.5,157.5,35,410
Cook Jodie,1988,130,85,160,34,387.5,,,Cook Jodie,1988,130,85,160,34,387.5
Hoey Jodie,1996,102.5,55,132.5,26,327.5,,,Shon Catherine,1992,137.5,80,167.5,30,402.5
Shon Catherine,1992,137.5,80,167.5,30,402.5,,,Hoey Jodie,1996,102.5,55,132.5,26,327.5
Zur Linden Emily,1987,167.5,95,185,35,471.5,,,Vidal Makeda,1995,170,80,185,27,462.5
Vidal Makeda,1995,170,80,185,27,462.5,,,Macpherson Charlotte,1995,165,92.5,190,27,462.5
Macpherson Charlotte,1995,165,92.5,190,27,462.5,,,Zur Linden Emily,1987,167.5,95,185,35,471.5
Hurndell Gillian,1990,140,77.5,152.5,32,397.5,,,Hurndell Gillian,1990,140,77.5,152.5,32,397.5
Krishna Amelia,1992,125,50,145,30,347.5,,,Krishna Amelia,1992,125,50,145,30,347.5
Strickland Sarah,1997,97.5,67.5,117.5,25,317.5,,,Strickland Sarah,1997,97.5,67.5,117.5,25,317.5
Leece Stephanie,1991,95,45,135,31,287.5,,,Leece Stephanie,1991,95,45,135,31,287.5
Solarska Eliza,1995,90,50,125,27,287.5,,,Solarska Eliza,1995,90,50,125,27,287.5
Corr Jo-Ann,1993,85,40,100,29,245,,,Corr Jo-Ann,1993,85,40,100,29,245
Bryans Holly,1994,160,107.5,182.5,28,474,,,Nunan Claire,1993,172.5,107.5,200,29,512.5
Kitigawa Lisa,1991,147.5,80,175,31,425,,,Govind Hema,1996,185,100,185,26,511
Fruean Lagi,1990,140,85,170,32,425,,,Grzybowski Rashena,1995,180,92.5,190,27,487.5
Lai Karen,1994,145,90,162.5,28,422.5,,,Tocher Claire,1984,140,100,170,38,427.5
Ng Amy,1990,125,77.5,165,32,395,,,Hema Kiri,1988,140,85,170,34,422.5
Hanrahan Em,1998,140,77.5,155,24,395,,,Carey Niamh,1993,125,52.5,150,29,352.5
Moore Ruth,1988,135,70,162.5,34,392.5,,,Schlater Brittany,1991,232.5,135,232.5,31,632
Roberts Katie,1989,135,100,132.5,33,392.5,,,Coggle Rebecca,1983,185,110,155,39,477.5
Spence Alyssa-Joy,1986,147.5,85,165,36,440,,,Christensen Aimee,1991,150,100,170,31,445
Tongotea Karlina,1992,210,117.5,240.5,30,600,,,Blenkin Rebecca,1990,155,90,165,32,442.5
Reid-Clavelle Danielle,1992,175.5,85,182.5,30,467.5,,,Matthews Abigail,1991,145,87.5,145,31,395
McQuilling Caryl,1991,152.5,85,170,31,440,,,Bryans Holly,1994,160,107.5,182.5,28,474
Griffin Rachele,1994,142.5,82.5,172.5,28,432.5,,,Kitigawa Lisa,1991,147.5,80,175,31,425
Gladden Morgan,1990,152.5,90,162.5,32,427.5,,,Lai Karen,1994,145,90,162.5,28,422.5
Eaton Natasha,1992,142.5,82.5,147.5,30,405,,,Fruean Lagi,1990,140,85,170,32,425
Husaimee Hashilah,1996,130,82.5,152.5,26,390,,,Spence Alyssa-Joy,1986,147.5,85,165,36,440
Young Elizabeth,1984,100,45,130,38,300,,,Hanrahan Em,1998,140,77.5,155,24,395
Smith Nicole,1993,175,105,165,29,475,,,Ng Amy,1990,125,77.5,165,32,395
Nunan Claire,1993,172.5,107.5,200,29,512.5,,,Roberts Katie,1989,135,100,132.5,33,392.5
Grzybowski Rashena,1995,180,92.5,190,27,487.5,,,Moore Ruth,1988,135,70,162.5,34,392.5
Tocher Claire,1984,140,100,170,38,427.5,,,Tongotea Karlina,1992,210,117.5,240.5,30,600
Carey Niamh,1993,125,52.5,150,29,352.5,,,Smith Nicole,1993,175,105,165,29,475
Hema Kiri,1988,140,85,170,34,422.5,,,Reid-Clavelle Danielle,1992,175.5,85,182.5,30,467.5
Govind Hema,1996,185,100,185,26,511,,,McQuilling Caryl,1991,152.5,85,170,31,440
Schlater Brittany,1991,232.5,135,232.5,31,632,,,Gladden Morgan,1990,152.5,90,162.5,32,427.5
Coggle Rebecca,1983,185,110,155,39,477.5,,,Griffin Rachele,1994,142.5,82.5,172.5,28,432.5
Christensen Aimee,1991,150,100,170,31,445,,,Eaton Natasha,1992,142.5,82.5,147.5,30,405
Blenkin Rebecca,1990,155,90,165,32,442.5,,,Husaimee Hashilah,1996,130,82.5,152.5,26,390
Matthews Abigail,1991,145,87.5,145,31,395,,,Young Elizabeth,1984,100,45,130,38,300
Lindsay Teagan,2006,67.5,30,87.5,16,210,,,Morris Isobel,2006,67.5,27.5,87.5,16,187.5
Morris Isobel,2006,67.5,27.5,87.5,16,187.5,,,Lindsay Teagan,2006,67.5,30,87.5,16,210
McMillan Zaviera,2005,112.5,60,117.5,17,320.5,,,McMillan Zaviera,2005,112.5,60,117.5,17,320.5
Sheikh Khan Muskan,2004,90,50,105,18,282.5,,,Sheikh Khan Muskan,2004,90,50,105,18,282.5
Bhadha Yasmin,2004,120,62.5,172.5,18,368,,,Dahler Shelby,2005,145,75,125,17,DSQ
Jamieson Anna,2006,120,60,125,16,325,,,Gnana Divya Nagam,2005,130,40,130,17,360
van der Merwe Roeche,2006,122.5,57.5,140,16,353,,,Bhadha Yasmin,2004,120,62.5,172.5,18,368
Sadler-Barker Tiggy,2005,135,80,127.5,17,DSQ,,,Jamieson Anna,2006,120,60,125,16,325
Gnana Divya Nagam,2005,130,40,130,17,360,,,Sadler-Barker Tiggy,2005,135,80,127.5,17,DSQ
Dahler Shelby,2005,145,75,125,17,DSQ,,,Ain Duratul,2000,85,40,115,22,257.5
Ain Duratul,2000,85,40,115,22,257.5,,,Clark Molly,2000,110,80,125,22,330
Clark Molly,2000,110,80,125,22,330,,,Stephen Hana,2000,97.5,62.5,122.5,22,302.5
Stephen Hana,2000,97.5,62.5,122.5,22,302.5,,,Wong Milly,2000,100,55,120,22,297.5
Wong Milly,2000,100,55,120,22,297.5,,,Marron Kathryn,2000,100,52.5,117.5,22,295
Marron Kathryn,2000,100,52.5,117.5,22,295,,,Ye-Lee Dana,1999,135,95,152.5,23,407.5
Ye-Lee Dana,1999,135,95,152.5,23,407.5,,,Fiorvento Sara,1999,115,65,125,23,337.5
Fiorvento Sara,1999,115,65,125,23,337.5,,,Pham Vy Thuy,2000,147.5,82.5,165,22,410
Pham Vy Thuy,2000,147.5,82.5,165,22,410,,,Perkins Zoe,2002,137.5,75,152.5,20,400
Perkins Zoe,2002,137.5,75,152.5,20,400,,,Janes Megan,2003,122.5,85,150,19,377.5
Janes Megan,2003,122.5,85,150,19,377.5,,,Black Sophie,2000,130,60,155,22,357.5
Roberts Lizzy,1999,122.5,67.5,140,23,367.5,,,Roberts Lizzy,1999,122.5,67.5,140,23,367.5
Black Sophie,2000,130,60,155,22,357.5,,,D Kavitha,2000,125,60,110,22,317.5
D Kavitha,2000,125,60,110,22,317.5,,,Morgan Beca,2002,110,60,110,20,300
Morgan Beca,2002,110,60,110,20,300,,,Worley Charlotte,2001,165,102.5,182.5,21,477.5
Manning Veronica,1999,122.5,85,165,23,402.5,,,Waite Harriet,2001,150,72.5,160,21,430
Corrigan Sally,1999,125,80,152.5,23,402.5,,,Edgar Sam,2000,147.5,77.5,175,22,412.5
Carpenter Lily,1999,132.5,70,152.5,23,395,,,G Naik Pratheeksha,2000,120,65,140,22,325
McQuoid Madi,1999,100,95,185,23,408,,,Luka Rawinia,2000,170,90,175,22,480
White Olivia,2001,145,85,155,21,407.5,,,Andrews Breana,1999,170,67.5,75,23,380
Irvine Michelle,1999,125,65,145,23,367.5,,,Sharma Yashika,2001,120,50,120,21,295
Worley Charlotte,2001,165,102.5,182.5,21,477.5,,,Ghosh Moumita,2002,155,75,150,20,450
Waite Harriet,2001,150,72.5,160,21,430,,,du Plessis Karin,2000,140,77.5,125,22,382.5
Edgar Sam,2000,147.5,77.5,175,22,412.5,,,Davies Caitlin,2001,155,80,155,21,415
G Naik Pratheeksha,2000,120,65,140,22,325,,,Manning Veronica,1999,122.5,85,165,23,402.5
Luka Rawinia,2000,170,90,175,22,480,,,Corrigan Sally,1999,125,80,152.5,23,402.5
Ghosh Moumita,2002,155,75,150,20,450,,,Carpenter Lily,1999,132.5,70,152.5,23,395
Davies Caitlin,2001,155,80,155,21,415,,,McQuoid Madi,1999,100,95,185,23,408
du Plessis Karin,2000,140,77.5,125,22,382.5,,,White Olivia,2001,145,85,155,21,407.5
Andrews Breana,1999,170,67.5,75,23,380,,,Irvine Michelle,1999,125,65,145,23,367.5
Sharma Yashika,2001,120,50,120,21,295,,,Bartolo Natalie,1981,102.5,57.5,125,41,315
Bartolo Natalie,1981,102.5,57.5,125,41,315,,,Metha Neeta,1977,92.5,50,115,45,272.5
Metha Neeta,1977,92.5,50,115,45,272.5,,,Jeffery Megan,1981,95,80,130,41,327.5
Jeffery Megan,1981,95,80,130,41,327.5,,,Vishnoi Ekta,1974,105,55,130,48,315
Vishnoi Ekta,1974,105,55,130,48,315,,,Stott Emma,1974,97.5,60,105,48,270
Stott Emma,1974,97.5,60,105,48,270,,,Morris Emma,1980,70,37.5,107.5,42,240
Morris Emma,1980,70,37.5,107.5,42,240,,,Trovato Meaghan,1979,120,70,137.5,43,347.5
Trovato Meaghan,1979,120,70,137.5,43,347.5,,,Lau Letitia,1981,100,60,120,41,315
Lau Letitia,1981,100,60,120,41,315,,,Lindsay Kerry,1973,80,40,100,49,245
Lindsay Kerry,1973,80,40,100,49,245,,,Wagner Marie,1982,177.5,95,182.5,40,471
Jessop Roshelle,1975,135,90,177.5,47,428,,,Abbott Janelle,1981,150,92.5,155,41,430
Green Melanie,1980,135,77.5,180,42,422.5,,,Shearer Penelope,1981,142.5,70,162.5,41,402.5
Sperske Alexa,1982,143.0-c,72.5,177.5,40,411.5,,,Ferris-Bretherton Raina,1975,135,80,175,47,400
Ajanta Hilton,1978,125,65,150,44,373,,,Grant Lisa,1977,130,65,180,45,392.5
Marangoni Pia,1978,125,65,145,44,358.5,,,Bosward-Fielding Abbi,1981,137.5,70,160,41,395
Jones Delyth,1982,120,70,130,40,342.5,,,Park Fiona,1977,125,77.5,140,45,357.5
Sciffer Katie,1980,110,67.5,135,42,340,,,Hall Elizabeth,1974,125,60,127.5,48,350
Wagner Marie,1982,177.5,95,182.5,40,471,,,Taylor Siobhan,1978,160,90,175,44,457.5
Abbott Janelle,1981,150,92.5,155,41,430,,,O'Callaghan Tracy,1978,165,75,170,44,435
Shearer Penelope,1981,142.5,70,162.5,41,402.5,,,Berger Nicola,1979,160,75,175,43,440
Ferris-Bretherton Raina,1975,135,80,175,47,400,,,Bennett Trina,1973,155,75,175,49,440
Bosward-Fielding Abbi,1981,137.5,70,160,41,395,,,Jessop Roshelle,1975,135,90,177.5,47,428
Grant Lisa,1977,130,65,180,45,392.5,,,Green Melanie,1980,135,77.5,180,42,422.5
Park Fiona,1977,125,77.5,140,45,357.5,,,Sperske Alexa,1982,143,72.5,177.5,40,411.5
Hall Elizabeth,1974,125,60,127.5,48,350,,,Ajanta Hilton,1978,125,65,150,44,373
Taylor Siobhan,1978,160,90,175,44,457.5,,,Marangoni Pia,1978,125,65,145,44,358.5
Bennett Trina,1973,155,75,175,49,440,,,Sciffer Katie,1980,110,67.5,135,42,340
Berger Nicola,1979,160,75,175,43,440,,,Jones Delyth,1982,120,70,130,40,342.5
O'Callaghan Tracy,1978,165,75,170,44,435,,,Raghunath Vinutha,1968,100,47.5,115,54,267.5
Lane Angelina,1969,85,47.5,112.5,53,270,,,Lane Angelina,1969,85,47.5,112.5,53,270
Raghunath Vinutha,1968,100,47.5,115,54,267.5,,,Jensen Linda,1965,100,57.5,135,57,315
Jensen Linda,1965,100,57.5,135,57,315,,,Humphreys Karen,1963,102.5,57.5,125,59,307.5
Clarke Anna,1968,95,57.5,122.5,54,287.5,,,Forker Annette,1966,90,55,115,56,282.5
Humphreys Karen,1963,102.5,57.5,125,59,307.5,,,Saldanha Vilma,1969,85,47.5,115,53,262.5
Forker Annette,1966,90,55,115,56,282.5,,,Spragg Rachel,1970,90,60,105,52,267.5
Spragg Rachel,1970,90,60,105,52,267.5,,,Mishra Ranjita,1969,125,65,150,53,375
Saldanha Vilma,1969,85,47.5,115,53,262.5,,,Seiuli Melissa,1969,120,75,142.5,53,372.5
Breen Michelle,1971,115,50,135,51,320,,,Hendy Claire,1968,107.5,57.5,122.5,54,322.5
Wilson Michelle,1971,110,62.5,120,51,305,,,Taylor Sue,1963,87.5,52.5,130,59,295
Grennan Tree,1966,82.5,42.5,110,56,272.5,,,Telea Ime,1972,150,102.5,190,50,500
Dwyer Kylie,1970,115,65,145,52,348.5,,,Cosner Ali,1971,140,85,185,51,455
Condon Carole,1965,115,67.5,142.5,57,345,,,Laird Joanne,1972,140,90,155,50,432.5
Mishra Ranjita,1969,125,65,150,53,375,,,Jackson Elaine,1969,122.5,72.5,165,53,392.5
Seiuli Melissa,1969,120,75,142.5,53,372.5,,,Lauder Angela,1970,115,75,150,52,357.5
Hendy Claire,1968,107.5,57.5,122.5,54,322.5,,,Wilson Michelle,1971,110,62.5,120,51,305
Taylor Sue,1963,87.5,52.5,130,59,295,,,Breen Michelle,1971,115,50,135,51,320
Telea Ime,1972,150,102.5,190,50,500,,,Grennan Tree,1966,82.5,42.5,110,56,272.5
Cosner Ali,1971,140,85,185,51,455,,,Condon Carole,1965,115,67.5,142.5,57,345
Laird Joanne,1972,140,90,155,50,432.5,,,Dwyer Kylie,1970,115,65,145,52,348.5
Jackson Elaine,1969,122.5,72.5,165,53,392.5,,,,,,,,,
Lauder Angela,1970,115,75,150,52,357.5,,,,,,,,,